name,publisher,authors,author_1,author_2,author_3,author_4,author_5,author_6,author_7,author_8,author_9,author_10,author_11,author_12,author_13,author_14
転移学習,講談社,松井孝太，熊谷亘,松井孝太,熊谷亘,,,,,,,,,,,,
最適輸送の理論とアルゴリズム,講談社,佐藤竜馬,佐藤竜馬,,,,,,,,,,,,,
時系列解析,共立出版,柴田里程,柴田里程,,,,,,,,,,,,,
欠測データ処理: Rによる単一代入法と多重代入法,共立出版,高橋将宜，渡辺美智子,高橋将宜,渡辺美智子,,,,,,,,,,,,
スパース推定法による統計モデリング,共立出版,川野秀一，松井秀俊，廣瀬慧,川野秀一,松井秀俊,廣瀬慧,,,,,,,,,,,
カルマンフィルタ―Rを使った時系列予測と状態空間モデル― ,共立出版,野村俊一,野村俊一,,,,,,,,,,,,,
ゲノムデータ解析,共立出版,冨田誠，植木優夫,冨田誠,植木優夫,,,,,,,,,,,,
最小二乗法・交互最小二乗法,共立出版,森裕一，黒田正博，足立浩平,森裕一,黒田正博,足立浩平,,,,,,,,,,,
暗号と乱数―乱数の統計的検定― ,共立出版,藤井光昭,藤井光昭,,,,,,,,,,,,,
ファジィ時系列解析,共立出版,渡辺則生,渡辺則生,,,,,,,,,,,,,
計算代数統計―グレブナー基底と実験計画法― ,共立出版,青木敏,青木敏,,,,,,,,,,,,,
テキストアナリティクス,共立出版,金明哲,金明哲,,,,,,,,,,,,,
高次元の統計学,共立出版,青嶋誠，矢田和善,青嶋誠,矢田和善,,,,,,,,,,,,
カプラン・マイヤー法―生存時間解析の基本手法― ,共立出版,西川正子,西川正子,,,,,,,,,,,,,
最良母集団の選び方,共立出版,高田佳和,高田佳和,,,,,,,,,,,,,
点過程の時系列解析,共立出版,近江崇宏，野村俊一,近江崇宏,野村俊一,,,,,,,,,,,,
メッシュ統計,共立出版,佐藤彰洋,佐藤彰洋,,,,,,,,,,,,,
正規性の検定,共立出版,中川重和,中川重和,,,,,,,,,,,,,
統計的不偏推定論,共立出版,赤平昌文,赤平昌文,,,,,,,,,,,,,
EMアルゴリズム,共立出版,黒田正博,黒田正博,,,,,,,,,,,,,
分散分析を超えて,共立出版,広津千尋,広津千尋,,,,,,,,,,,,,
統計的逐次推定論,共立出版,赤平昌文，小池健一,赤平昌文,小池健一,,,,,,,,,,,,
エシェロン解析,共立出版,栗原考次，石岡文生,栗原考次,石岡文生,,,,,,,,,,,,
仕組みと使い方がわかる Docker&Kubernetesのきほんのきほん,マイナビ出版,小笠原種高,小笠原種高,,,,,,,,,,,,,
AWS運用入門 押さえておきたいAWSの基本と運用ノウハウ,SBクリエイティブ,佐竹陽一，山﨑翔平，小倉大，峯侑資,佐竹陽一,山﨑翔平,小倉大,峯侑資,,,,,,,,,,
はじめてでもできるGitとGitHubの教科書,SBクリエイティブ,たにぐちまこと,たにぐちまこと,,,,,,,,,,,,,
Vision Transfomer入門,技術評論社,片岡裕雄，山本晋太郎，徳永匡臣，箕浦大晃，邱玥（QIU YUE），品川政太朗,片岡裕雄,山本晋太郎,徳永匡臣,箕浦大晃,邱玥（QIU YUE）,品川政太朗,,,,,,,,
実践GAN 敵対的生成ネットワークによる深層学習,マイナビ出版,Jakub Langr，Vladimir Bok,Jakub Langr,Vladimir Bok,,,,,,,,,,,,
科学哲学からのメッセージ,森北出版,松王政浩,松王政浩,,,,,,,,,,,,,
アフターデジタル,日経BP,藤井保文，尾原和啓,藤井保文,尾原和啓,,,,,,,,,,,,
具体抽象トレーニング,PHPビジネス新書,細谷功,細谷功,,,,,,,,,,,,,
